Title,Year,Released,Genre,Runtime,Director,Writer,Actors,Rated,IMDB Rating,Metascore,IMDB Votes,Awards,Box Office,Country,Language,Description,Poster URL
1408,2007.0,22 Jun 2007,"Fantasy, Horror, Mystery",104 min,Mikael Håfström,"Matt Greenberg, Scott Alexander, Larry Karaszewski","John Cusack, Samuel L. Jackson, Mary McCormack",PG-13,6.8,64.0,"301,219",4 wins & 12 nominations total,"$71,985,628",United States,English,"The cynical and skeptical writer Mike Enslin writes books evaluating supernatural phenomena in hotels, graveyards and other haunted places, usually debunking the mystery. While writing his latest book, he travels from Los Angeles to New York to spend one night in the Dolphin Hotel's posessed room 1408, which is permanently unavailable for guests. The reluctant manager Mr. Gerald Olin objects to his request and offers an upgrade, expensive booze and finally relates the death of more than fifty guests over decades in the cursed room. However Mike threatens Mr. Olin, promising to sue the hotel, and is finally allowed to check into the room. Later in the night, he finds that guests of room 1408, once they have checked in, might never leave the room alive.",https://m.media-amazon.com/images/M/MV5BMjQ2ODkxMjc4OV5BMl5BanBnXkFtZTgwMTgzNzQyMTI@._V1_SX300.jpg
Fred Claus,2007.0,09 Nov 2007,"Comedy, Family, Fantasy",116 min,David Dobkin,"Dan Fogelman, Jessie Nelson","Vince Vaughn, Paul Giamatti, Elizabeth Banks",PG,5.7,42.0,"49,316",,"$72,006,777",United States,English,"During childhood, Fred Claus suffered his younger brother Nick's saintliness. Jump ahead: Fred is a fast-talking, genial but self-centered guy in Chicago looking for $50,000 to open an off-track-betting shop. When one scam goes awry, he calls Nick at the North Pole for a loan: Nick will give him the money only if Fred comes up to help a few days with the Christmas rush. After his girlfriend dumps him, Fred heads north. Santa's facing an audit from an efficiency expert, and it's not pleasant. Fred's job is to review charts and determine who's naughty and who's nice. Is there any fraternal feeling left, can either learn from the other, and what about Santa getting fired?",https://m.media-amazon.com/images/M/MV5BMTY0NDEwNzc0N15BMl5BanBnXkFtZTcwNjgxNzUzMw@@._V1_SX300.jpg
Sweeney Todd: The Demon Barber of Fleet Street,2007.0,21 Dec 2007,"Drama, Horror, Musical",116 min,Tim Burton,"John Logan, Hugh Wheeler, Christopher Bond","Johnny Depp, Helena Bonham Carter, Alan Rickman",R,7.3,83.0,"394,622",Won 1 Oscar. 34 wins & 77 nominations total,"$52,898,073","United States, United Kingdom","English, Italian","In the Victorian London, the barber Benjamin Barker is married to the gorgeous Lucy and they have a lovely child, Johanna. The beauty of Lucy attracts the attention of the corrupt Judge Turpin, who falsely accuses the barber of a crime that he did not commit and abuses Lucy later after gaining custody of her. After fifteen years in exile, Benjamin returns to London under the new identity of Sweeney Todd, seeking revenge against Turpin. He meets the widow Mrs. Lovett who is the owner of a meat pie shop who tells him that Lucy swallowed arsenic many years ago, and Turpin assigned himself tutor of Johanna. He opens a barber shop above her store, initiating a crime rampage against those who made him suffer and lose his beloved family.",https://m.media-amazon.com/images/M/MV5BMTg3NjUxMzM5NV5BMl5BanBnXkFtZTcwMzQ1NjQzMw@@._V1_SX300.jpg
Hostel: Part II,2007.0,08 Jun 2007,Horror,94 min,Eli Roth,Eli Roth,"Lauren German, Heather Matarazzo, Bijou Phillips",R,5.5,46.0,"98,470",10 nominations total,"$17,609,452","United States, Czech Republic","English, Slovak, Italian, Czech","Three female college students take a detour from their partying, enticed by a beautiful European woman who promises seclusion, safety, and maybe even romance. What they get is a living hell in which they are sold to the highest bidder, whose fondest wish is to kill them slowly. Hostel 2 also follows two American men who are willing to pay to join an exclusive club where a life will end at their hands--any way they like. It's a story of human monsters and the almighty dollar as only Eli Roth could tell it.",https://m.media-amazon.com/images/M/MV5BMjA1NTQ3MjI2N15BMl5BanBnXkFtZTYwNTQ4MTI3._V1_SX300.jpg
Shrek the Third,2007.0,18 May 2007,"Animation, Adventure, Comedy",93 min,"Chris Miller, Raman Hui","William Steig, Andrew Adamson, Jeffrey Price","Mike Myers, Cameron Diaz, Eddie Murphy",PG,6.1,58.0,"340,993",Nominated for 1 BAFTA Award5 wins & 17 nominations total,"$322,719,944",United States,English,"When King Harold (John Cleese) of Far, Far Away dies, the clumsy Shrek (Mike Myers) becomes the immediate successor of the throne. However, Shrek decides to find the legitimate heir Artie (Justin Timberlake) in a distant kingdom with his friends Donkey (Eddie Murphy) and Puss in Boots (Antonio Banderas) to be able return to his beloved house in the swamp with the pregnant Fiona (Cameron Diaz). Meanwhile, the envious and ambitious Prince Charming (Rupert Everett) joins the villains of the fairytales plotting a coup d'état to become the new King.",https://m.media-amazon.com/images/M/MV5BOTgyMjc3ODk2MV5BMl5BanBnXkFtZTcwMjY0MjEzMw@@._V1_SX300.jpg
Eastern Promises,2007.0,21 Sep 2007,"Crime, Drama, Thriller",100 min,David Cronenberg,Steven Knight,"Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl",R,7.6,83.0,"267,630",Nominated for 1 Oscar. 28 wins & 74 nominations total,"$17,266,000","United Kingdom, Canada, United States","English, Russian, Turkish, Urdu","THIS SUMMARY CONTAINS SPOILERS. - In London, the Russian pregnant teenager Tatiana arrives bleeding in a hospital, and the doctors save her baby only. The Russian descendant midwife Anna Khitrova finds Tatiana's diary written in Russian language in her belongings and decided to find her family to deliver the baby, she brings the diary home and ask her uncle Stepan to translate the document. Stepan refuses, but Anna finds a card of a restaurant owned by the Russian Semyon inside the diary and she visits the old man trying to find a lead to contact Tatiana's family. When she mentions the existence of the diary, Semyon immediately offers to translate the document. However, Stepan translates part of the diary and Anna discovers that Semyon and his sick son Kirill had raped Tatiana when she was fourteen years old and forced her to work as prostitute in a brothel of their own. Further, Semyon is the dangerous boss of the Russian mafia ""Vory v Zakone"", jeopardizing the safety of Anna and her family. Meanwhile, Semyon's driver Nikolai Luzhin gets close to Kirill and Semyon, climbing positions in the criminal organization, but he helps Anna, her family and the baby.",https://m.media-amazon.com/images/M/MV5BMTcwMzU0OTY3NF5BMl5BanBnXkFtZTYwNzkwNjg2._V1_SX300.jpg
Music and Lyrics,2007.0,14 Feb 2007,"Comedy, Music, Romance",104 min,Marc Lawrence,Marc Lawrence,"Hugh Grant, Drew Barrymore, Scott Porter",PG-13,6.5,59.0,"109,036",6 nominations total,"$50,572,589",United States,English,"Cheery Alex Fletcher lives comfortably in Manhattan off the residuals from his 80's pop success and reprising his hits at school reunions, theme parks, and state fairs. But those gigs are declining, so he jumps at the chance to write a song and record it with reigning teen idol Cora Corman. Trouble is, he's good at melodies but needs a lyricist and has less than a week to finish. Enter Sophie Fisher, subbing for a friend who waters Alex's plants; she's a pretty good poet, quick witted, and could do it, if she'd agree. But there's some sort of shadow over her head that Alex may not be able to charm his way past. And what if they do get a song written, what then?",https://m.media-amazon.com/images/M/MV5BNDY5MTQwODI3OV5BMl5BanBnXkFtZTcwODM2MjEzMw@@._V1_SX300.jpg
Norbit,2007.0,09 Feb 2007,"Comedy, Romance",102 min,Brian Robbins,"Eddie Murphy, Charlie Murphy, Jay Scherick","Eddie Murphy, Thandiwe Newton, Terry Crews",PG-13,4.2,27.0,"82,924",Nominated for 1 Oscar. 8 wins & 9 nominations total,"$95,673,607",United States,English,"Norbit is a normal person, who after being adopted by Mr. Wong, ends up being married to the very large, Rasputia. Norbit's childhood love, Kate Thomas arrives back in town to buy the orphanage. Norbit sees this as his chance to get back together with Kate, until he discovers that she is in fact engaged to Deion Hughes. Norbit isn't going to lay this to rest, whilst he tries to survive life with Rasputia, and it looks like Deion also has something he would like to keep secret.",https://m.media-amazon.com/images/M/MV5BMTI4NDE4MjgyNV5BMl5BanBnXkFtZTcwMTQwODc0MQ@@._V1_SX300.jpg
Alvin and the Chipmunks,2007.0,14 Dec 2007,"Adventure, Comedy, Family",92 min,Tim Hill,"Jon Vitti, Will McRobb, Chris Viscardi","Jason Lee, Ross Bagdasarian Jr., Janice Karman",PG,5.3,39.0,"98,076",4 wins & 2 nominations total,"$217,326,974",United States,"English, French, Spanish, Japanese","In a tree farm, three musically inclined chipmunks, Alvin, Simon and Theodore, find their tree cut down and sent to Los Angeles. Once there, they meet the frustrated songwriter David Seville, and despite a poor house wrecking first impression, they impress him with their singing talent. Seeing the opportunity for success, both human and chipmunks make a pact for them to sing his songs. While that ambition proves a frustrating struggle with the difficult trio, the dream does come true after all. However, that success presents its own trials as their unscrupulous record executive, Ian Hawke, plans to break up this family to exploit the boys. Can Dave and the Chipmunks discover what they really value amid the superficial glamor around them?",https://m.media-amazon.com/images/M/MV5BNDVjMWNkNjEtOGU5YS00Y2Q2LTgwYjMtMTg0YWM2ZGE2MDM3XkEyXkFqcGc@._V1_SX300.jpg
Gone Baby Gone,2007.0,19 Oct 2007,"Crime, Drama, Mystery",114 min,Ben Affleck,"Ben Affleck, Aaron Stockard, Dennis Lehane","Morgan Freeman, Ed Harris, Casey Affleck",R,7.6,72.0,"300,257",Nominated for 1 Oscar. 33 wins & 32 nominations total,"$20,292,962",United States,English,"When 4 year old Amanda McCready disappears from her home and the police make little headway in solving the case, the girl's aunt Beatrice McCready hires two private detectives Patrick Kenzie and Angie Gennaro. The detectives freely admit that they have little experience with this type of case, but the family wants them for two reasons - they're not cops and they know the tough Boston neighborhood in which they all live. As the case progresses, Kenzie and Gennaro face drug dealers, gangs and pedophiles. When they are about to solve their case, they are faced with a moral dilemma that could tear them apart.",https://m.media-amazon.com/images/M/MV5BOTlmNmU2NDgtZDU1OS00OTFhLWJlNTgtMWE2OGQ1OTg1MGM4XkEyXkFqcGc@._V1_SX300.jpg
National Treasure: Book of Secrets,2007.0,21 Dec 2007,"Action, Adventure, Mystery",124 min,Jon Turteltaub,"Marianne Wibberley, Cormac Wibberley, Gregory Poirier","Nicolas Cage, Diane Kruger, Justin Bartha",PG,6.5,48.0,"260,284",1 win & 5 nominations total,"$219,964,115",United States,"English, French","Several years since Benjamin Franklin Gates (Nicolas Cage) found the Knight's Templar and became rich and famous. Now, another treasure hunter named Mitch Wilkinson (Ed Harris) has found what is a missing page of the diary of John Wilkes Booth, which contains clues to the location of a lost city of gold, Ben must compete against Mitch to find the lost city, he goes to France and Great Britain to find other clues and even peak inside the President's secret book to put the pieces of the puzzle together, his parents and his friends also help Ben find the lost city and to stay one step ahead of Mitch.",https://m.media-amazon.com/images/M/MV5BMjEwMjUyOTQ0MF5BMl5BanBnXkFtZTYwODA2Njk3._V1_SX300.jpg
Enchanted,2007.0,21 Nov 2007,"Animation, Adventure, Comedy",107 min,Kevin Lima,Bill Kelly,"Amy Adams, Susan Sarandon, James Marsden",PG,7.1,75.0,"222,127",Nominated for 3 Oscars. 12 wins & 51 nominations total,"$127,807,262","United States, Algeria, New Zealand",English,"The beautiful Princess Giselle (Amy Adams) is banished by evil Queen Narissa (Susan Sarandon) from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale Prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",https://m.media-amazon.com/images/M/MV5BMjE4NDQ2Mjc0OF5BMl5BanBnXkFtZTcwNzQ2NDE1MQ@@._V1_SX300.jpg
Next,2007.0,27 Apr 2007,"Action, Sci-Fi, Thriller",96 min,Lee Tamahori,"Gary Goldman, Jonathan Hensleigh, Paul Bernbaum","Nicolas Cage, Julianne Moore, Jessica Biel",PG-13,6.2,42.0,"169,336",2 wins & 3 nominations total,"$18,211,013",United States,"Serbian, English, French, German","Possessing the extraordinary ability to see precisely two minutes into the future, the low-profile Las Vegas stage magician, Cris Johnson, has managed to keep his unusual skill under the radar. However, Johnson's rare talent has caught the attention of the tough counter-terrorism FBI agent, Callie Ferris, who intends to use the illusionist's unfailing charisma to thwart the murderous plans of a ruthless group of Russian terrorists. Now, a stolen nuclear device threatens to level California, as Cris' beautiful girlfriend, Liz, is being used by the criminals to gain added leverage. Can Cris save both the hostage and the city of Los Angeles with his peculiar gift?",https://m.media-amazon.com/images/M/MV5BMTg3MjgyNjE1Nl5BMl5BanBnXkFtZTcwNTY1NDU0MQ@@._V1_SX300.jpg
Teeth,2007.0,03 Apr 2008,"Comedy, Fantasy, Horror",94 min,Mitchell Lichtenstein,Mitchell Lichtenstein,"Jess Weixler, John Hensley, Josh Pais",R,5.4,57.0,"47,666",2 wins & 10 nominations total,"$347,578",United States,English,"Dawn grows up in the shadow of a nuclear power plant. In high school, while her biology class studies evolution, she realizes she may have a hidden curse, an ""adaptation."" She lives with her mom, step-father, and hard-edged step-brother. She likes Tobey, a guy at school, and he likes her. She takes a pledge to remain chaste until marriage, so they date in groups, watch G-rated films, and don't kiss, but the power of teen hormones is great, so temptation beckons. Dawn has an admirer in Ryan, and when when things have an unexpected twist with Tobey, she turns to Ryan for help. Will he be her mythical hero and rescue her? Or can she find her way as her own hero, turning the curse into an asset?",https://m.media-amazon.com/images/M/MV5BMWI0OTRjZTctMTY1ZS00YjkxLWFiYjEtYjMxYmUzZDhlNzUyXkEyXkFqcGc@._V1_SX300.jpg
The Babysitters,2007.0,13 May 2011,Drama,88 min,David Ross,David Ross,"Lauren Birkell, Paul Borghese, Chira Cassel",R,5.6,35.0,"13,302",,"$44,852",United States,English,"At 17, high-school junior Shirley Lyner is thinking about college and running a babysitting service that provides teen call girls to the dads of young children. In a long flashback, we see what brought her from being a babysitter to organizing and running the service. It starts with Michael, the father of children she baby-sits. A cup of coffee on the way home from his house, a night visit to a train yard, and one thing leads to another. Shirley can be ruthless, and tension builds when some of the clients take the girls to a mountain cabin and bring drugs. Then, one of the girls tries to freelance. Can this end well: is it a tragedy in the making? Do we all have secrets?",https://m.media-amazon.com/images/M/MV5BNmQ2MWI3OTctOTA1Yy00Nzk1LTlkNGYtYzMwZmNmOGI2NGU0XkEyXkFqcGc@._V1_SX300.jpg
The Number 23,2007.0,23 Feb 2007,"Crime, Mystery, Thriller",98 min,Joel Schumacher,Fernley Phillips,"Jim Carrey, Virginia Madsen, Logan Lerman",R,6.4,,"216,610",5 nominations total,"$35,193,167",United States,"English, Mandarin","On his birthday, Walter Sparrow, an amiable dog-catcher, takes a call that leaves him dog bit and late to pick up his wife. She's browsed in a bookstore, finding a blood-red-covered novel, a murder mystery with numerology that loops constantly around the number 23. The story captivates Walter: he dreams it, he notices aspects of his life that can be rendered by ""23,"" he searches for the author, he stays in the hotel (in room 23) where events in the novel took place, and he begins to believe it was no novel. His wife and son try to help him, sometimes in sympathy, sometimes to protect him. Slowly, with danger to himself and to his family, he closes in on the truth.",https://m.media-amazon.com/images/M/MV5BYWYwNmZlZWEtZmVmYy00NTU2LTk5MjUtY2I3ZmY4OGQ0OGVkXkEyXkFqcGc@._V1_SX300.jpg
Across the Universe,2007.0,12 Oct 2007,"Drama, Fantasy, History",133 min,Julie Taymor,"Dick Clement, Ian La Frenais, Julie Taymor","Evan Rachel Wood, Jim Sturgess, Joe Anderson",PG-13,7.3,56.0,"115,872",Nominated for 1 Oscar. 2 wins & 18 nominations total,"$24,602,291","United Kingdom, United States",English,"Across The Universe is a fictional love story set in the 1960s amid the turbulent years of anti-war protest, the struggle for free speech and civil rights, mind exploration and rock and roll. At once gritty, whimsical and highly theatrical, the story moves from high schools and universities in Massachusetts, Princeton and Ohio to the Lower East Side of Manhattan, the Detroit riots, Vietnam and the dockyards of Liverpool. A combination of live action and animation, the film is paired with many songs by The Beatles that defined the time.",https://m.media-amazon.com/images/M/MV5BYTEyZTAyMjAtYjAwMi00YTkzLWE0MTAtYzZiNjY5YTcyMzlhXkEyXkFqcGc@._V1_SX300.jpg
Knocked Up,2007.0,01 Jun 2007,"Comedy, Romance",129 min,Judd Apatow,Judd Apatow,"Seth Rogen, Katherine Heigl, Paul Rudd",R,6.9,85.0,"389,151",8 wins & 26 nominations,"$148,768,917",United States,English,"When Alison Scott is promoted in E! Television, she goes to a night-club to celebrate with her older married sister Debbie. Alison meets the pothead reckless Ben Stone and while having a small talk with Ben, Debbie's husband Pete calls her to tell that their daughter has chicken pox. Debbie leaves the place but Allison stays with Ben, drinking and dancing along all night; completely wasted, they end up having a one night stand. Ben does not use a condom and eight weeks later, Allison discovers that she is pregnant. She calls Ben and they decide to try to stay together and have the baby. However, Ben needs to grow up first to raise a family of his own.",https://m.media-amazon.com/images/M/MV5BYmIyMDA5YzgtZmNhMC00YWNlLTgwYjItOTc0ZGNjNTcwNzAxXkEyXkFqcGc@._V1_SX300.jpg
The Invasion,2007.0,17 Aug 2007,"Sci-Fi, Thriller",99 min,Oliver Hirschbiegel,"David Kajganich, Jack Finney","Nicole Kidman, Daniel Craig, Jeremy Northam",PG-13,5.9,45.0,"85,180",1 win & 2 nominations total,"$15,074,191","United States, Australia","English, Russian","While returning to Earth, the space shuttle explodes and the fragments bring an alien virus that recodes the human DNA. In Washington, the psychiatrist Carol Bennell observes the modification of the behavior of one of her clients first, then in her former husband and finally in the population in general. Together with her friend Dr. Ben Driscoll the researcher Dr. Stephen Galeano, they discover that the extraterrestrial epidemic affects human beings while sleeping and that her son Ollie, who had chickenpox when he was a baby, is immune to the disease and may save mankind from the outbreak.",https://m.media-amazon.com/images/M/MV5BMTQ1NzM0NjI4M15BMl5BanBnXkFtZTcwOTg2NjUzMw@@._V1_SX300.jpg
Fantastic Four: Rise of the Silver Surfer,2007.0,15 Jun 2007,"Action, Adventure, Fantasy",92 min,Tim Story,"Don Payne, Mark Frost, John Turman","Ioan Gruffudd, Jessica Alba, Chris Evans",PG,5.6,45.0,"284,926",3 wins & 17 nominations total,"$131,921,738","United Kingdom, Germany, United States, Hong Kong, China, Thailand, Canada","English, Japanese, Chinese, Arabic","Everything seems to be going great for the Fantastic Four. Reed and Sue are finally getting married, and things couldn't seem better. However, when the mysterious Silver Surfer crashes things, they learn that they will have to deal with an old foe, and the powerful planet eating Galactus.",https://m.media-amazon.com/images/M/MV5BNmZmMTU0OGQtOWRmNS00ZjA1LWJkM2EtYmUwNGEzMjIyZDM1XkEyXkFqcGc@._V1_SX300.jpg
Beowulf,2007.0,16 Nov 2007,"Animation, Action, Adventure",115 min,Robert Zemeckis,"Neil Gaiman, Roger Avary, Anonymous","Ray Winstone, Crispin Glover, Angelina Jolie",PG-13,6.3,59.0,"176,886",4 wins & 19 nominations total,"$82,280,579","United States, United Kingdom","English, Old English","Set against the coming of Christianity, this is the story of the last hero: in 507, a monstrous troll wreaks havoc in the mead hall of Danish King Hrothgar (Sir Anthony Hopkins). He offers rewards for the death of Grendel (Crispin Glover), so Beowulf (Ray Winstone), a great and boastful Geat warrior, arrives with his thanes. Beowulf sets aside his armor and awaits the monster. A fierce battle ensues that leads to Beowolf's entering the watery lair of Grendel's Mother (Angelina Jolie), where a devil's bargain awaits. Beowulf returns to Herot, the castle, and becomes King. Jump ahead many years, and the sins of the father are visited upon Beowulf and his kingdom. The hero must face his weakness and be heroic once again. Is the age of demons over?",https://m.media-amazon.com/images/M/MV5BMTUzMjM0MTc3MF5BMl5BanBnXkFtZTcwNzU0ODMyMw@@._V1_SX300.jpg
Forgetting Sarah Marshall,2008.0,18 Apr 2008,"Comedy, Drama, Romance",111 min,Nicholas Stoller,Jason Segel,"Kristen Bell, Jason Segel, Paul Rudd",R,7.1,67.0,"306,399",4 wins & 19 nominations,"$63,172,463",United States,"English, Hawaiian, German, Japanese","Peter is a composer and a likable sad sack who's devastated when his girlfriend of five years, Sarah Marshall, the star of a cheesy CSI-style crime show, dumps him. He weeps, he rails, he mopes. Finally, his step-brother Brian suggests a vacation, so Peter heads for a resort on Oahu where, as he's checking in, he sees Sarah and her new beau, Aldous, a perverse English rocker. The weeping and moping start again, until Peter is rescued by Rachel, a thoughtful hotel clerk who invites him to a luau and to hang out. Although he constantly runs into Sarah and Aldous, Peter starts to come alive again. Will Sarah realize what she's lost, and what about Rachel?",https://m.media-amazon.com/images/M/MV5BMTYzODgzMjAyM15BMl5BanBnXkFtZTcwMTI3NzI2MQ@@._V1_SX300.jpg
Journey to the Center of the Earth,2008.0,11 Jul 2008,"Action, Adventure, Family",93 min,Eric Brevig,"Michael D. Weiss, Jennifer Flackett, Mark Levin","Brendan Fraser, Josh Hutcherson, Aníta Briem",PG,5.8,57.0,"133,934",3 wins & 4 nominations,"$101,704,370",United States,"English, Icelandic, Italian","Professor Trevor Anderson receives his teenager nephew Sean Anderson. He will spend ten days with his uncle while his mother, Elizabeth, prepares to move to Canada. She gives a box to Trevor that belonged to his missing brother, Max, and Trevor find a book with references to the last journey of his brother. He decides to follow the steps of Max with Sean and they travel to Iceland, where they meet the guide Hannah Ásgeirsson. While climbing a mountain, there is a thunderstorm and they protect themselves in a cave. However, lightening collapses the entrance and the trio is trapped in the cave. They seek an exit and fall in a hole, discovering a lost world in the center of the Earth.",https://m.media-amazon.com/images/M/MV5BMTk1MzY1MzU1MF5BMl5BanBnXkFtZTcwOTQ2NjM3MQ@@._V1_SX300.jpg
Inkheart,2008.0,23 Jan 2009,"Adventure, Family, Fantasy",106 min,Iain Softley,"David Lindsay-Abaire, Cornelia Funke","Brendan Fraser, Andy Serkis, Eliza Bennett",PG,6.1,49.0,"83,399",1 win total,"$17,303,424","Germany, United Kingdom, United States, Italy",English,"Mortimer ""Mo"" ""Silvertongue"" Folchart has the special talent to bring characters out of books. One night he brings out three characters from Inkheart, a story set in medieval times and filled with magical beings. Capricorn (Andy Serkis) and Basta (Jamie Foreman), two villains, and Dustfinger (Paul Bettany), a fire-eater. Now, ten years later, Meggie (Eliza Bennett) discovers the truth and it's up to her to escape Capricorn's evil grasp.",https://m.media-amazon.com/images/M/MV5BMTg5NTc2MDEwN15BMl5BanBnXkFtZTcwMTA5ODQ5MQ@@._V1_SX300.jpg
"New York, I Love You",2008.0,16 Oct 2009,"Comedy, Drama, Romance",103 min,"Fatih Akin, Yvan Attal, Randall Balsmeyer","Hu Hong, Yao Meng, Israel Horovitz","Shia LaBeouf, Natalie Portman, Bradley Cooper",R,6.2,49.0,"48,419",1 nomination,"$1,588,015","United States, Bahrain","English, French, Cantonese, Yiddish","Eleven vignettes, all homages to New York City life, are presented. I. Ben (Hayden Christensen), a pickpocket, is attracted to Molly (Rachel Bilson) at first sight, and gets into an interesting ""pissing match"" with Molly's married lover, New York University professor Garry (Andy Garcia). II. Mansuhkhbai (Irrfan Khan), an orthodox Jain diamond wholesaler, and Rifka (Natalie Portman), an orthodox Jewish diamond retailer who is getting married tomorrow, learn that they have more in common than just diamonds. III. David (Orlando Bloom), a musician and music editor for a video being directed by Abarra, is having problems meeting Abarra's demands while he slowly falls for Abarra's assistant, Camille (Christina Ricci), who he's never met, but has only talked to on the telephone solely about work. IV. A young man believes he's made a powerful connection to a stranger, a young woman, in the simple act of lighting her cigarette, and proceeds to convince her of the same and as such that there is a future for them from that point on, and not at some unspecified time down the road. V. A high school senior, who has been dumped by his girlfriend just before senior prom, is given a gift by his local pharmacist, Mr. Riccoli (James Caan), the senior not understanding the full implication of the gift until the full process of prom night is over. VI. Each on their way to their first official date together after what started out solely as a one night stand, Gus (Bradley Cooper) and Lydia (Drea de Matteo) each contemplate not keeping the date. VII. Isabelle (Julie Christie), a retired opera diva, has returned to a hotel where she's stayed many times and where she has strong memories of encounters with a young bellhop. VIII. Brown-skinned Dante (Carlos Acosta) and white-skinned young adolescent Teya (Taylor Geare) spend time together in a park, most outsiders see a manny and his charge, not realizing the true nature of Dante and Teya's relationship. IX. In questioning why one of her elderly Eastern European customers chose her as the wanted subject for his next painting, a young Chinese herbalist may be inspired to create some art of her own. X. Anna (Robin Wright), who meets Alex (Chris Cooper) by chance on the street each going about their individual business, asks him a question, she having an ulterior motive while expecting a totally different reaction from him contrary to her motive... maybe. XI. Abe (Eli Wallach) and Mitzie (Cloris Leachman) are spending their 63rd Wedding Anniversary together, not always harmoniously. Interspersed between these eleven vignettes are even shorter ones, often tying together to another or to one of the eleven primary ones in some manner.",https://m.media-amazon.com/images/M/MV5BMTI3NDYxOTM4OF5BMl5BanBnXkFtZTcwOTEwNTI4Mg@@._V1_SX300.jpg
Slumdog Millionaire,2008.0,25 Dec 2008,"Crime, Drama, Romance",120 min,"Danny Boyle, Loveleen Tandan","Simon Beaufoy, Vikas Swarup","Dev Patel, Freida Pinto, Saurabh Shukla",R,8.0,84.0,"890,142",Won 8 Oscars. 153 wins & 133 nominations total,"$141,319,928","United Kingdom, France, United States, India","English, Hindi","The story of Jamal Malik, an 18 year-old orphan from the slums of Mumbai, who is about to experience the biggest day of his life. With the whole nation watching, he is just one question away from winning a staggering 20 million rupees on India's Kaun Banega Crorepati? (2000) (Who Wants To Be A Millionaire?) But when the show breaks for the night, police arrest him on suspicion of cheating; how could a street kid know so much? Desperate to prove his innocence, Jamal tells the story of his life in the slum where he and his brother grew up, of their adventures together on the road, of vicious encounters with local gangs, and of Latika, the girl he loved and lost. Each chapter of his story reveals the key to the answer to one of the game show's questions. Each chapter of Jamal's increasingly layered story reveals where he learned the answers to the show's seemingly impossible quizzes. But one question remains a mystery: what is this young man with no apparent desire for riches really doing on the game show? When the new day dawns and Jamal returns to answer the final question, the Inspector and sixty million viewers are about to find out. At the heart of its storytelling lies the question of how anyone comes to know the things they know about life and love.",https://m.media-amazon.com/images/M/MV5BMTE5ZTRkYWEtZmU5MC00NDJjLTk3NmUtZGJlYTM2MmQ3NTJkXkEyXkFqcGc@._V1_SX300.jpg
Four Christmases,2008.0,26 Nov 2008,"Comedy, Drama, Romance",88 min,Seth Gordon,"Matt Allen, Caleb Wilson, Jon Lucas","Reese Witherspoon, Vince Vaughn, Mary Steenburgen",PG-13,5.7,41.0,"82,430",1 win & 1 nomination,"$120,146,040","Germany, United States",English,"Brad and Kate have been together three years, in love, having fun, doing all sorts of things together with no intention of marriage or children. Christmas morning, they're on their way to Fiji, having told their two sets of divorced parents that they're off to do charity work. Through a fluke, they have no choice but to visit each of their four idiosyncratic parents. As the day progresses, Brad and Kate remember growing up, each learns more about the other, and Kate realizes that her life may not be as good as it could be. Do they know each other well enough to weather the storms families bring?",https://m.media-amazon.com/images/M/MV5BMTQ2MjA0NDAwNF5BMl5BanBnXkFtZTcwOTU4MTM5MQ@@._V1_SX300.jpg
The Other Boleyn Girl,2008.0,29 Feb 2008,"Biography, Drama, History",115 min,Justin Chadwick,"Peter Morgan, Philippa Gregory","Natalie Portman, Scarlett Johansson, Eric Bana",PG-13,6.7,50.0,"121,596",3 nominations,"$26,814,957","United Kingdom, United States",English,"A sumptuous and sensual tale of intrigue, romance and betrayal set against the backdrop of a defining moment in European history: two beautiful sisters, Anne (Natalie Portman) and Mary Boleyn (Scarlett Johansson), driven by their family's blind ambition, compete for the love of the handsome and passionate King Henry VIII (Eric Bana).",https://m.media-amazon.com/images/M/MV5BMTQ2NTg1Mjk1Ml5BMl5BanBnXkFtZTYwODI5Njk3._V1_SX300.jpg
The Happening,2008.0,13 Jun 2008,"Adventure, Drama, Sci-Fi",91 min,M. Night Shyamalan,M. Night Shyamalan,"Mark Wahlberg, Zooey Deschanel, John Leguizamo",R,5.0,34.0,"220,896",3 wins & 10 nominations total,"$64,506,874","United States, India","English, French","Elliot Moore is a high school science teacher who quizzes his class one day about an article in the New York Times. It's about the sudden, mysterious disappearance of bees. Yet again Nature is doing something inexplicable, and whatever science has to say about it will be, in the end, only a theory. Scientists will bring out more theories, but no explanations, when a more urgent dilemma hits the planet. It begins in Central Park. Suddenly and inexplicably, the behavior of everyone in the park changes in a most bizarre and horrible way. Soon, the strange behavior spreads throughout the city and beyond. Elliot, his wife, Alma, and Jess, the young daughter of a friend, will only have theories to guide them where to run and where to hide. But theories may not be enough.",https://m.media-amazon.com/images/M/MV5BMTc2MjcwNjI0MF5BMl5BanBnXkFtZTcwMjM4NjM3MQ@@._V1_SX300.jpg
